,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
1818,F. Schär,25,Switzerland,75,79,RC Deportivo de La Coruña,€7M,€20K,1985,62,72,67,61,69,66,65,65,65,55,66,8,9,11,10,15,82,73,86,74,65,71,80,61,72,74,76,74,52,71,76,77,68,53,67,74,73,66,70,210047,67,70,74,70,73,66,66,66,65,70,CB ,67,70,74,70,73,66,66,66,65,70,66
937,V. Behrami,32,Switzerland,77,77,Udinese,€5M,€28K,2054,63,90,70,67,74,76,69,70,69,56,69,12,11,7,15,11,68,75,70,72,69,69,72,63,77,75,76,78,63,77,78,77,73,69,70,75,76,69,73,161805,70,73,75,73,76,69,70,68,68,73,CM CDM ,70,73,75,73,76,69,70,68,68,73,68
878,B. Džemaili,31,Switzerland,78,78,Montreal Impact,€9M,€54K,2091,68,78,68,68,78,79,75,79,76-2,70+1,70,13,7,11,6,14,62,69,59,74,81,64,68,78,80,78,86,69,65,84,70,71,77,75,76,70,74,76,77,138699,76,72,70,77,74,76,76,74,75,73,CAM CM ,76,72,70,77,74,76,76,74,75,73,74
1544,Gelson Fernandes,30,Switzerland,76,76,Eintracht Frankfurt,€5.5M,€29K,1943,68,87,67,67,69,71,59,57,68,51,55,14,6,13,10,13,63,79,70,70,55,74,50,61,72,75,67,70,66,92,77,75,68,55,67,74,75,66,71,158438,67,73,74,71,75,66,68,64,65,73,CM CDM ,67,73,74,71,75,66,68,64,65,73,64
1654,R. Freuler,25,Switzerland,75,80,Atalanta,€8.5M,€25K,1925,70,60,71,61,76,75,73,60,73,63,70,12,8,9,14,13,41,70,58,74,61,56,61,77,74,78,69,55,69,78,64,66,73,68,73,62,70,72,74,202024,73,67,62,74,70,72,74,68,72,70,CM ,73,67,62,74,70,72,74,68,72,70,68
238,G. Xhaka,24,Switzerland,82,85,Arsenal,€27.5M,€110K,1993,48,92,53,61,80,74,66,68,70,49,70,7,8,11,7,13,62,77,39,86,85,71,59,77,83,85,88,68,51,78,73,76,82,50,75,73,79,73,80,199503,75,71,73,80,79,73,72,69,70,73,CDM CM ,75,71,73,80,79,73,72,69,70,73,69
245,X. Shaqiri,25,Switzerland,82,85,Stoke City,€28M,€85K,2073,87,64,88,92,83,79,74,82,85,72,78,13,12,12,11,11,37,65,63,76,81,40,65,78,80,80,85,48,79,74,41,62,79,76,81,55,66,80,77,193348,81,64,55,77,66,80,80,74,80,68,RW RM ,81,64,55,77,66,80,80,74,80,68,74
1788,S. Zuber,25,Switzerland,75,78,TSG 1899 Hoffenheim,€7M,€28K,2057,78,70,75,66,77,73,71,78,77,63,66,15,15,7,14,9,72,74,63,61,79,68,55,74,75,74,80,66,79,79,71,77,72,57,74,72,72,75,73,190059,74,73,72,73,72,75,74,73,74,74,LM LWB ,74,73,72,73,72,75,74,73,74,74,73
3693,D. Zakaria,20,Switzerland,72,86,Borussia Mönchengladbach,€7M,€18K,1830,64,80,64,62,76,64,69,58,72,32,41,12,12,7,13,11,64,75,74,76,36,70,39,58,64,77,59,61,75,77,69,80,75,28,67,71,73,64,71,229261,67,70,71,71,73,64,69,59,65,71,CDM CM ,67,70,71,71,73,64,69,59,65,71,59
2290,J. Drmić,24,Switzerland,74,79,Borussia Mönchengladbach,€7.5M,€31K,1891,75,72,69,72,71,72,70,76,74,75,51,7,9,13,8,13,66,35,74,63,72,27,74,75,74,72,77,40,78,69,37,72,57,74,70,51,55,72,66,198504,70,56,51,66,55,72,71,73,72,58,LM RM ST ,70,56,51,66,55,72,71,73,72,58,73
1448,B. Embolo,20,Switzerland,76,88,FC Schalke 04,€14M,€35K,1871,79,63,77,73,81,76,59,65,78,74,51,13,6,7,7,12,68,41,73,70,61,24,66,78,73,72,75,22,83,76,28,83,69,64,75,50,56,76,70,222357,75,53,50,70,56,76,74,75,75,57,RW ST ,75,53,50,70,56,76,74,75,75,57,75
2350,H. Seferović,25,Switzerland,74,78,SL Benfica,€7.5M,€13K,1878,65,80,64,59,72,69,67,60,71,71+1,62,9,13,9,9,16,76,35,75,59,71,25,66,74+3,72,69,77,40,73,76,42,83,65,73,69,54,56,71,66,193408,69,56,54,66,56,71,70,73,70,58,ST ,69,56,54,66,56,71,70,73,70,58,73
