,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
570,J. Stones,23,England,79,85,Manchester City,€14.5M,€105K,1807,71,73,64,57,77,79,62,46,69,29,29,7,15,11,10,8,77,76,72,71,38,80,37,48,75,80,46,81,71,79,83,79,59,27,65,78,77,62,70,203574,65,76,78,70,77,62,67,58,63,76,CB ,65,76,78,70,77,62,67,58,63,76,58
599,P. Jones,25,England,79,80,Manchester United,€12.5M,€115K,1860,51,85,42,61,68,72,64,38,60,50,35,10,8,6,16,11,75,81,83,67,59,77,55,42,76,73,68,81,64,75,80,80,59,60,61,78,75,61,67,194957,61,74,78,67,75,61,63,62,60,73,CB ,61,74,78,67,75,61,63,62,60,73,62
124,G. Cahill,31,England,84,84,Chelsea,€21M,€160K,1839,62,84,62,51,63,75,28,48,58,56,27,5,12,9,5,12,86,83,82,61,66,84,53,45,85,65,63,84,63,69,85,80,56,47,61,82,75,61,65,164468,61,73,82,65,75,61,58,64,58,69,CB ,61,73,82,65,75,61,58,64,58,69,64
262,J. Henderson,27,England,82,84,Liverpool,€21.5M,€115K,2183,73,80,73,71,80,78,81,80,74,67,74,7,13,7,9,13,65,79,81,83,71,73,64,76,79,85,75,76,71,93,80,76,82,72,78,77,81,76,81,183711,78,79,77,81,81,76,78,74,76,80,CM CDM ,78,79,77,81,81,76,78,74,76,80,74
747,J. Lingard,24,England,78,80,Manchester United,€13M,€95K,2005,84,66,85,84,82,75,72,74,79,72,56,14,10,8,13,9,61,53,65,65,80,52,65,79,75,75,76,44,83,79,46,61,74,64,77,58,64,78,73,207494,77,64,58,73,64,78,77,75,78,67,RW LM LW RM ,77,64,58,73,64,78,77,75,78,67,75
5428,R. Loftus-Cheek,21,England,70,84,Crystal Palace,€3.9M,€27K,1747,65,67+4,62,68,75+1,71,41+5,31,71+2,61,31,11,7,12,15,13,57,62,59,74+4,49,64,45,68,60,76,51,61,69,76,67,78,70,31,69,66,69,67,70,213666,69,64,66,70,69,67,67,64,66,64,CM CAM ,69,64,66,70,69,67,67,64,66,64,64
1727,A. Young,31,England,75,75,Manchester United,€4.4M,€84K,2061,79,58,81,77,79,65,84,86,78,65,72,16,10,15,16,15,54,67,57,69,70,64,65,68,79,77,75,63,76,73,68,57,75,73,75,65,70,74,74,152908,75,72,65,74,70,74,76,70,76,73,LB LM RB ,75,72,65,74,70,74,76,70,76,73,70
97,D. Alli,21,England,84,90,Tottenham Hotspur,€43M,€115K,2122,77,84,74,62,85,86,68,71,83,84,53,7,6,9,11,8,75,67,69,76,79,60,68,86,85,83,77,57,76,89,63,71,83,76,83,69,75,83,81,211117,83,72,69,81,75,83,81,81,81,73,LM CF CAM ,83,72,69,81,75,83,81,81,81,73,81
230,R. Sterling,22,England,82,87,Manchester City,€29.5M,€140K,1960,94,34,91,92,84,74,73,64,85,73,49,15,12,12,15,9,38,26,60,67,70,48,63,81,79,81,68,54,92,75,58,64,75,59,80,53,61,80,74,202652,80,64,53,74,61,80,81,74,81,67,LM RM RW ,80,64,53,74,61,80,81,74,81,67,74
47,H. Kane,23,England,86,90,Tottenham Hotspur,€59M,€165K,2057,68,74,73,62,82,84,70,71,78,90,66,8,10,11,14,11,83,35,70,67,84,41,84,89,87,75,87,38,74,85,36,86,75,73,79,57,62,82,74,202126,79,60,57,74,62,82,78,84,79,62,ST ,79,60,57,74,62,82,78,84,79,62,84
317,J. Vardy,30,England,81,81,Leicester City,€17M,€89K,2047,91,92,78,77,76,79,63,59,76,83,48,15,14,7,15,11,64,49,74,48,67,48,76,84,86,66,85,51,91,88,52,68,72,73,75,61,63,79,69,208830,75,66,61,69,63,79,76,79,77,67,ST ,75,66,61,69,63,79,76,79,77,67,79
393,M. Rashford,19,England,80,89,Manchester United,€22M,€74K,2006,93,67,90,78,79,74,72,74,83,79,73,11,6,15,7,14,68,42,63,65,66,22,74,81,78+2,74,82,25,92,83,32,73,73,72+1,78,50,57,80,71,231677,78,58,50,71,57,80,79,79,80,61,RM ST LM ,78,58,50,71,57,80,79,79,80,61,79
459,D. Welbeck,26,England,80,81,Arsenal,€17.5M,€130K,1972,83,75,82,63,78,76,69,61,80,75,62,9,10,6,12,16,75,32,80,64,69,28,70,80,78,76,77,33,84,81,38,78,72,76,77,53,58,78,71,186146,77,58,53,71,58,78,77,78,77,60,ST ,77,58,53,71,58,78,77,78,77,60,78
