,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
5611,W. Kvist,32,Denmark,70,70,FC København,€1.3M,€15K,1890,49,75,61,65,70,71,67,57,59,46,66,8,14,6,16,15,58,74,65,70,58,72,59,61,71,73,73,70,52,85,72,77,66,60,64,71,73,62,69,158676,64,69,71,69,73,62,64,61,62,70,CDM CM ,64,69,71,69,73,62,64,61,62,70,61
1595,L. Lerager,23,Denmark,75,80,Girondins de Bordeaux,€9M,€33K,1945,61,76,69,66,72,65,62,47,68,67,43,7,7,14,13,13,74,71+3,74,71,65,62+4,48,74,77+1,76+3,70,66+2,67,88,71+2,69,74,63,72,70,72,71,74,217605,72,70,70,74,72,71,71,70,70,71,CDM CM ,72,70,70,74,72,71,71,70,70,71,70
1055,L. Schøne,31,Denmark,77,77,Ajax,€7.5M,€15K,2051,45,65,72,79,82,68,81,85,74,70,86,16,16,9,12,11,60,81,70,77,82,50,77,67,70,82,83,51,55,66,55,55,83,84,75,62,70,73,76,172143,75,65,62,76,70,73,73,70,73,68,CDM CM ,75,65,62,76,70,73,73,70,73,68,70
37,C. Eriksen,25,Denmark,87,91,Tottenham Hotspur,€65M,€165K,2064,77,44,78,82,87,87,86,85,84,76,87,9,14,7,7,6,52,55,57,86,84,38,67,81,83,89,80,22,74,90,56,57,90,74,85,53,68,82,83,190460,85,64,53,83,68,82,84,77,83,69,LM RM CAM ,85,64,53,83,68,82,84,77,83,69,77
670,M. Krohn-Dehli,34,Denmark,79,79,Sevilla FC,€6.5M,€24K,2084,69,67,76,78,78,73,82,77,77,76,83,10,8,15,16,11,50,75,57,81,68,54,76,82,85,80,81,61,66,67,73,66,86,53,79,67,74,78,79,159240,79,71,67,79,74,78,78,74,78,73,CM LM ,79,71,67,79,74,78,78,74,78,73,74
2550,P. Sisto,22,Denmark,74,83,RC Celta de Vigo,€8.5M,€22K,1952,82,52,83,81,79,66,61,70,80,74,74,12,6,12,11,11,51,51,79,62,70,51,66,71,66,63,73,48,85,79,55,64,68,62,72,57,61,73,68,212196,72,62,57,68,61,73,73,71,74,64,RW LW ,72,62,57,68,61,73,73,71,74,64,71
933,M. Braithwaite,26,Denmark,77,80,Middlesbrough,€11M,€24K,1993,82,75,86,76,77,77,71,71,76,77,75,14,13,11,7,8,66,31,84,65,70,32,73,81,72,77,77,26,86,81,30,77,73,73,76,51,57,77,70,193290,76,55,51,70,57,77,76,76,77,59,CAM LM ST ,76,55,51,70,57,77,76,76,77,59,76
3193,A. Cornelius,24,Denmark,73,78,Atalanta,€5.5M,€25K,1695,68,71,49,69,70,71,42,45,67,73,56,15,9,8,11,9,77,28,75,43,68,13,65,71,66,65,75,12,71,71,26,90,50,67,64,46,47,68,58,201943,64,45,46,58,47,68,63,72,65,47,ST ,64,45,46,58,47,68,63,72,65,47,72
1924,V. Fischer,23,Denmark,75,82,1. FSV Mainz 05,€9.5M,€23K,1858,76,60,77,68,78,71,64,68,76,71,65,13,14,6,14,15,55,39,56,68,69,30,63,74,74,80,74,20,77,68,36,64,73,73,75,48,57,75,71,203965,75,53,48,71,57,75,74,72,74,57,CAM ST LW LM ,75,53,48,71,57,75,74,72,74,57,72
1481,Y. Poulsen,23,Denmark,76,83,RB Leipzig,€11M,€58K,1873,85,83,75,55,73,67,66,70,76,68,43,6,11,15,14,8,78,44,82,46,58,22,59,76,77,71,69,28,86,85,37,78,61,68,71,54,56,73,65,207791,71,57,54,65,56,73,73,74,73,60,ST ,71,57,54,65,56,73,73,74,73,60,74
1939,M. Jørgensen,27,Denmark,75,78,Huddersfield Town,€6.5M,€40K,1726,66,84,62,55,66,71,47,30,48,34,26,16,9,9,14,13,76,71,73,68,30,70,27,46,66,74,61,71,71,78,76,84,65,40,59,74,72,57,64,183491,59,69,74,64,72,57,60,57,56,68,CB ,59,69,74,64,72,57,60,57,56,68,57
697,K. Dolberg,19,Denmark,78,88,Ajax,€16.5M,€10K,1834,73,44,75,70,79,80,42,67,76,78,70,7,15,13,9,7,69,21,72,54,78,20,74,75,77,68,87,19,79,71,24,77,69,75,73,43,49,76,66,228687,73,47,43,66,49,76,70,77,72,50,CAM ST ,73,47,43,66,49,76,70,77,72,50,77
