,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
4668,M. Silva,28,Uruguay,71,72,Real Salt Lake,€2.2M,€6K,1576,46,78,60,44,54,47,32,49,48,22,46,6,12,7,6,14,75,68,82,53,35,70,49,30,57,58,61,65,52,63,72,85,43,34,47,70,63,46,52,200395,47,60,70,52,63,46,47,48,44,58,CB ,47,60,70,52,63,46,47,48,44,58,48
1970,L. Torreira,21,Uruguay,75,83,Sampdoria,€10M,€26K,1914,79,78,85,93,78,75,67,62,74,50,63,5,5,13,7,9,32,77,32,76,59,60,48,65,73,79,62,67,75,79,75,64,73,50,73,66,74,69,74,223959,73,71,66,74,74,69,73,63,71,73,CM ,73,71,66,74,74,69,73,63,71,73,63
3387,G. Silva,23,Uruguay,72,77,Independiente,€3.5M,€12K,1788,69,59,67,58,69,70,70,58,65,33,70,7,7,13,12,10,73,75,59,59,47,66,55,47,66,66,59,77,72,67,74,77,49,33,59,71,68,58,62,220702,59,71,71,62,68,58,62,58,60,70,LB CB ,59,71,71,62,68,58,62,58,60,70,58
5049,N. Nández,21,Uruguay,70,85,Boca Juniors,€3.5M,€11K,1744,71,61,62,73,69,72,52,42,55,39,52,8,8,14,5,15,44,72,75,70,58,69,55,42,68,72,66,68,69,64,68,62,65,31,62,66,69,59,65,230965,62,66,66,65,69,59,61,55,59,66,CM CDM ,62,66,66,65,69,59,61,55,59,66,55
727,D. Laxalt,24,Uruguay,78,82,Genoa,€13.5M,€30K,1923,86,65,82,77,78,76,77,61,77,64,60,10,12,10,9,8,43,42,65,74,66,53,49,68,70,78,70,57,90,92,53,60,68,49,74,57,65,73,72,213400,74,66,57,72,65,73,77,68,75,69,LM ,74,66,57,72,65,73,77,68,75,69,68
2900,M. Gómez,20,Uruguay,73,81,RC Celta de Vigo,€6M,€20K,1668,64,47,52,55,67,59,56,68,64,78,53,7,8,13,12,6,70,17,64,58,64,22,67,75,74,61,76,23,67,68,17,77,52,66,64,41,45,68,59,239207,64,45,41,59,45,68,65,72,66,48,ST ,64,45,41,59,45,68,65,72,66,48,72
523,M. Campaña,28,Uruguay,79,82,Independiente,€11M,€23K,1205,40,25,40,44,27,37,21,15,18,16,13,82,75,72,78,82,13,31,60,25,15,12,23,18,67,25,24,18,48,18,16,81,51,12,NA,NA,NA,NA,NA,225647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1158,C. Sánchez,32,Uruguay,77,77,Monterrey,€6.5M,€58K,2073,87,77,81,77,76,75,69,71,73,69,69,15,8,7,14,8,69,70,75,78,76,37,65,74,80,74,76,45,89,89,60,61,79,75,76,62,69,76,76,205510,76,68,62,76,69,76,77,74,76,70,RM CAM CM ,76,68,62,76,69,76,77,74,76,70,74
2396,J. Urretaviscaya,27,Uruguay,74,74,Pachuca,€6M,€32K,1855,84,56,77,74,74,73,74,75,75,66,70,9,15,12,14,6,54,30,66,66,67,34,61,70,72,73,78,25,85,70,30,57,70,66,73,45,53,73,67,189338,73,54,45,67,53,73,74,70,74,57,LW RW ,73,54,45,67,53,73,74,70,74,57,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Defence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Goalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
