,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
359,Paulinho,28,Brazil,81,81,FC Barcelona,€17.5M,€165K,2168,76,69,70,64,81,79,64,66,77,72,72,16,16,11,6,8,80,78,88,76,76,77,71,75,81,81,79,73,76,92,78,69,75,75,77,77,78,77,79,187961,77,78,77,79,78,77,77,77,76,78,CDM CM ,77,78,77,79,78,77,77,77,76,78,77
407,Fred,24,Brazil,80,85,Shakhtar Donetsk,€19.5M,€1K,2123,80,73,84,87,84,79,67,70,79,71,59,7,16,15,11,15,55,69,84,77,74,75,65,69,82,85,69,69,84,88,75,45,76,64,79,70,76,77,79,209297,79,76,70,79,76,77,79,72,78,77,CAM CDM CM ,79,76,70,79,76,77,79,72,78,77,72
489,Renato Augusto,29,Brazil,80,80,,€0,€0,2069,66,53,66,66,84,68,79,80,85,65,75,6,11,16,15,8,57,70,49,81,81,67,68,75,83,81,81,59,67,71,68,78,81,77,79,68,74,78,79,169195,79,71,68,79,74,78,78,74,78,73,LM CDM CAM CM ,79,71,68,79,74,78,78,74,78,73,74
55,Coutinho,25,Brazil,86,89,Liverpool,€56M,€205K,2049,88,55,92,92,88,85,77,84,88,74,82,12,7,9,14,6,47,30,59,78,86,24,64,83,81,85,80,40,77,80,44,61,87,75,85,49,61,83,79,189242,85,60,49,79,61,83,83,77,84,64,CAM LW ,85,60,49,79,61,83,83,77,84,64,77
115,Willian,28,Brazil,84,84,Chelsea,€31.5M,€200K,2061,91,44,89,81,86,79,77,82,87,77,85,14,12,13,7,13,29,55,46,77,81,43,70,80,83,82,71,51,86,87,58,62,83,59,83,55,68,82,80,180403,83,68,55,80,68,82,83,74,83,72,CAM RM RW ,83,68,55,80,68,82,83,74,83,72,74
248,Douglas Costa,26,Brazil,82,82,Juventus,€24M,€115K,2016,96,55,91,90,83,73,76,79,85,71,78,13,15,9,12,5,51,32,61,71,84,28,77,77,76,78,86,30,88,74,31,63,78,73,80,46,57,80,73,190483,80,57,46,73,57,80,80,76,81,61,RM LM ,80,57,46,73,57,80,80,76,81,61,76
3,Neymar,25,Brazil,92,94,Paris Saint-Germain,€123M,€280K,2100,94,56,96,82,95,92,75,81,96,89,84,9,9,15,15,11,62,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83,88,46,59,88,79,190871,88,59,46,79,59,88,87,84,89,64,LW ,88,59,46,79,59,88,87,84,89,64,84
253,Taison,29,Brazil,82,82,Shakhtar Donetsk,€21.5M,€1K,2045,93,56,89,83,85,74,73,52,87,76,73,7,7,11,15,13,56,49,62,75,83,38,72,74,79,77,83,40,91,70,53,62,79,82,81,55,64,81,76,188803,81,63,55,76,64,81,81,77,82,66,CAM LM ,81,63,55,76,64,81,81,77,82,66,77
300,Gabriel Jesus,20,Brazil,81,92,Manchester City,€31M,€115K,1967,89,56,93,92,85,84,66,76,87,83,54,13,8,6,6,15,66,32,75,66,73,20,78,83,82,75,78,19,85,84,17,63,75,67,81,44,54,82,73,230666,81,53,44,73,54,82,80,80,82,58,ST ,81,53,44,73,54,82,80,80,82,58,80
146,Roberto Firmino,25,Brazil,83,87,Liverpool,€34M,€135K,2101,77,66,82,81,85,78,72,80,87,83,67,8,11,9,6,10,72,37,81,75,80,30,72,84,82,83,79,42,77,86,59,76,83,79,83,58,65,83,79,201942,83,63,58,79,65,83,82,81,82,66,CAM CF ST ,83,63,58,79,65,83,82,81,82,66,81
